Time	HighH	HighM	HighL	MiddleH	MiddleM	MiddleL	LowH	LowM	LowL	Tot
40.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.5000	0.3333	0.5000
1800.0000	0.0000	0.0000	0.0000	5.2500	11.1429	7.0769	8.0000	4.4405	2.2548	4.1841
3602.0000	0.0000	0.0000	0.0000	24.1250	22.0769	10.8519	10.7327	5.7381	2.6603	5.8045
5400.0000	0.0000	0.0000	11.0000	42.5833	22.9000	12.1282	11.6184	6.0359	2.6760	6.3560
7200.0000	0.0000	2.0000	49.0000	49.2500	26.2963	13.5192	12.6881	6.1433	2.7861	6.8681
9000.0000	0.0000	87.0000	55.5000	53.5500	26.6765	13.8769	13.2244	6.4081	2.9274	7.2663
10800.0000	0.0000	117.0000	42.0000	55.9167	27.7250	13.8831	13.5672	6.6275	2.9419	7.4221
12600.0000	51.0000	127.0000	44.3333	55.4483	28.0213	13.8333	13.8676	6.6746	2.9677	7.5259
14406.0000	169.0000	78.5000	57.6667	56.5938	28.6481	14.3465	14.0516	6.8164	2.9847	7.6846
16205.0000	238.0000	121.0000	61.2500	56.3514	29.7869	14.6348	14.3370	6.8568	3.0308	7.8717
18010.0000	252.0000	127.5000	51.4000	58.7073	29.2941	14.6124	14.4181	6.9023	3.0522	7.9138
19808.0000	255.0000	85.6667	59.4000	59.2000	29.0533	14.7234	14.5143	6.9241	3.0567	7.9286
21607.0000	255.0000	105.3333	63.6000	59.7959	29.4691	14.7273	14.5567	7.0089	3.0794	7.9865
23406.0000	135.5000	124.0000	53.3333	59.4717	29.0455	14.9401	14.6601	6.9927	3.0953	7.9922
25202.0000	191.5000	127.0000	60.0000	58.3276	29.5579	14.8556	14.7662	7.0511	3.1095	8.0580
27009.0000	236.0000	101.5000	54.8571	59.4032	30.1176	14.9845	14.7868	7.0906	3.1118	8.1067
28806.0000	249.0000	118.5000	55.4286	59.5758	29.8532	15.1073	14.9174	7.1283	3.1299	8.1496
30608.0000	253.0000	126.0000	58.4286	59.8714	29.8534	15.0459	14.9408	7.1277	3.1507	8.1646
32402.0000	253.5000	103.0000	53.8750	60.5000	30.2951	15.0391	14.9485	7.1490	3.1597	8.1780
34204.0000	169.6667	120.4000	62.3750	60.8077	30.5504	15.0661	14.9855	7.1507	3.1675	8.2100
36000.0000	196.6667	127.0000	57.1111	60.7831	30.6176	15.1732	15.0601	7.1884	3.1769	8.2552
37800.0000	217.3333	127.8000	61.8889	60.8966	30.5664	15.2594	15.1745	7.1875	3.1871	8.2861
39600.0000	245.3333	106.8333	56.8000	61.7802	30.8993	15.2473	15.1810	7.2348	3.2056	8.3223
41401.0000	253.6667	118.5000	61.8000	61.9579	30.8013	15.2680	15.1921	7.2599	3.2087	8.3386
43204.0000	254.3333	126.3333	63.8000	62.1111	30.8957	15.2336	15.1660	7.2609	3.2226	8.3449
45002.0000	191.2500	127.6667	63.1818	61.0288	30.8353	15.3291	15.2326	7.2888	3.2325	8.3591
46802.0000	221.0000	120.0000	63.9091	61.6667	30.7797	15.4055	15.2610	7.3144	3.2440	8.3991
48601.0000	250.5000	126.7143	62.6667	61.8571	30.9563	15.4692	15.2482	7.3148	3.2514	8.4204
50400.0000	254.7500	127.5714	63.9167	61.3675	31.1105	15.3343	15.2641	7.3329	3.2567	8.4212
52200.0000	254.7500	114.0000	61.2308	62.0826	31.0152	15.3562	15.3249	7.3536	3.2726	8.4465
54005.0000	254.7500	125.7500	59.5000	62.4800	30.9069	15.4339	15.3491	7.3792	3.2814	8.4724
55800.0000	209.2000	127.6250	63.7857	61.5538	30.9763	15.4615	15.3581	7.3679	3.2841	8.4690
