Time			Type			Success
36000.0000			LowH			0.5498
36000.0000			LowM			0.3453
36000.0000			LowL			0.2137
36000.0000			tot			0.3359
37800.0000			HighH			1.0000
37800.0000			HighM			1.0000
37800.0000			HighL			0.7778
37800.0000			MiddleH			0.8046
37800.0000			MiddleM			0.7203
37800.0000			MiddleL			0.5602
37800.0000			LowH			0.5732
37800.0000			LowM			0.3619
37800.0000			LowL			0.2206
37800.0000			tot			0.3487
39600.0000			HighH			1.0000
39600.0000			HighM			0.8333
39600.0000			HighL			0.9000
39600.0000			MiddleH			0.8242
39600.0000			MiddleM			0.7383
39600.0000			MiddleL			0.5735
39600.0000			LowH			0.5914
39600.0000			LowM			0.3731
39600.0000			LowL			0.2347
39600.0000			tot			0.3628
41401.0000			HighH			1.0000
41401.0000			HighM			1.0000
41401.0000			HighL			0.9000
41401.0000			MiddleH			0.8526
41401.0000			MiddleM			0.7436
41401.0000			MiddleL			0.5773
41401.0000			LowH			0.5986
41401.0000			LowM			0.3823
41401.0000			LowL			0.2432
41401.0000			tot			0.3713
43204.0000			HighH			1.0000
43204.0000			HighM			1.0000
43204.0000			HighL			0.9000
43204.0000			MiddleH			0.8788
43204.0000			MiddleM			0.7607
43204.0000			MiddleL			0.5789
43204.0000			LowH			0.6113
43204.0000			LowM			0.3986
43204.0000			LowL			0.2519
43204.0000			tot			0.3828
45002.0000			HighH			0.7500
45002.0000			HighM			1.0000
45002.0000			HighL			0.9091
45002.0000			MiddleH			0.8750
45002.0000			MiddleM			0.7824
45002.0000			MiddleL			0.6203
45002.0000			LowH			0.6207
45002.0000			LowM			0.4148
45002.0000			LowL			0.2591
45002.0000			tot			0.3943
46802.0000			HighH			0.7500
46802.0000			HighM			0.8571
46802.0000			HighL			0.9091
46802.0000			MiddleH			0.8704
46802.0000			MiddleM			0.7797
46802.0000			MiddleL			0.6311
46802.0000			LowH			0.6366
46802.0000			LowM			0.4282
46802.0000			LowL			0.2669
46802.0000			tot			0.4045
48601.0000			HighH			1.0000
48601.0000			HighM			0.8571
48601.0000			HighL			0.8333
48601.0000			MiddleH			0.8929
48601.0000			MiddleM			0.7869
48601.0000			MiddleL			0.6393
48601.0000			LowH			0.6467
48601.0000			LowM			0.4394
48601.0000			LowL			0.2739
48601.0000			tot			0.4133
50400.0000			HighH			1.0000
50400.0000			HighM			0.8571
50400.0000			HighL			0.9167
50400.0000			MiddleH			0.8718
50400.0000			MiddleM			0.7895
50400.0000			MiddleL			0.6459
50400.0000			LowH			0.6535
50400.0000			LowM			0.4527
50400.0000			LowL			0.2850
50400.0000			tot			0.4236
52200.0000			HighH			1.0000
52200.0000			HighM			0.7500
52200.0000			HighL			0.8462
52200.0000			MiddleH			0.8843
52200.0000			MiddleM			0.8173
52200.0000			MiddleL			0.6630
52200.0000			LowH			0.6662
52200.0000			LowM			0.4673
52200.0000			LowL			0.2916
52200.0000			tot			0.4341
54005.0000			HighH			1.0000
54005.0000			HighM			0.8750
54005.0000			HighL			0.7857
54005.0000			MiddleH			0.8960
54005.0000			MiddleM			0.8284
54005.0000			MiddleL			0.6720
54005.0000			LowH			0.6719
54005.0000			LowM			0.4819
54005.0000			LowL			0.3000
54005.0000			tot			0.4439
55800.0000			HighH			0.8000
55800.0000			HighM			1.0000
55800.0000			HighL			0.8571
55800.0000			MiddleH			0.8692
55800.0000			MiddleM			0.8341
55800.0000			MiddleL			0.6769
55800.0000			LowH			0.6851
55800.0000			LowM			0.4938
55800.0000			LowL			0.3087
55800.0000			tot			0.4537
57600.0000			HighH			0.8000
57600.0000			HighM			0.8889
57600.0000			HighL			0.9333
57600.0000			MiddleH			0.8806
57600.0000			MiddleM			0.8525
57600.0000			MiddleL			0.6841
57600.0000			LowH			0.6942
57600.0000			LowM			0.5007
57600.0000			LowL			0.3152
57600.0000			tot			0.4610
59400.0000			HighH			1.0000
59400.0000			HighM			0.8889
59400.0000			HighL			0.9333
59400.0000			MiddleH			0.8913
59400.0000			MiddleM			0.8393
59400.0000			MiddleL			0.7029
59400.0000			LowH			0.6995
59400.0000			LowM			0.5094
59400.0000			LowL			0.3234
59400.0000			tot			0.4688
61203.0000			HighH			1.0000
61203.0000			HighM			0.8889
61203.0000			HighL			1.0000
61203.0000			MiddleH			0.8873
61203.0000			MiddleM			0.8442
61203.0000			MiddleL			0.7183
61203.0000			LowH			0.7068
61203.0000			LowM			0.5149
61203.0000			LowL			0.3309
61203.0000			tot			0.4759
63000.0000			HighH			1.0000
63000.0000			HighM			0.8889
63000.0000			HighL			0.9375
